Frame_Number,Object_Info,Keypoint_15_X,Keypoint_15_Y,Keypoint_16_X,Keypoint_16_Y
1,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
2,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
3,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
4,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
5,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
6,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 974, 'Center_Y': 873, 'Status': 'Not Moving'}"
7,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
8,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
9,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
10,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 974, 'Center_Y': 872, 'Status': 'Not Moving'}"
11,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
12,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
13,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
14,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
15,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
16,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
17,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
18,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 974, 'Center_Y': 872, 'Status': 'Not Moving'}"
19,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
20,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
21,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
22,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
23,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
24,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
25,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
26,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
27,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
28,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
29,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
30,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
31,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
32,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
33,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
34,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
35,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
36,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
37,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
38,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
39,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
40,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
41,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
42,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
43,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
44,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
45,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
46,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
47,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
48,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
49,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
50,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
51,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
52,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
53,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
54,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
55,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
56,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
57,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
58,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
59,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
60,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
61,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
62,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
63,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
64,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
65,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
66,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
67,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
68,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
69,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
70,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
71,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
72,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
73,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
74,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
75,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
76,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
77,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
78,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
79,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
80,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
81,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
82,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
83,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
84,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
85,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
86,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
87,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
88,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
89,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
90,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
91,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
92,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
93,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
94,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
95,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
96,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
97,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
98,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
99,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
100,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
101,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
102,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
103,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
104,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
105,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
106,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
107,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
108,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
109,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
110,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
111,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
112,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
113,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
114,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
115,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
116,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
117,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
